,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,target
347,2,1,1,0,2,1,0,0,2,2,1,1,3,0,2,1,2,1,1
348,2,1,1,0,2,1,0,0,2,1,0,1,1,2,2,0,2,1,1
349,2,1,1,0,2,1,0,0,2,1,1,1,2,0,1,1,2,1,0
350,2,1,1,3,0,2,1,2,1,1,0,1,1,2,2,0,2,1,1
351,2,1,1,3,0,2,1,2,1,1,1,1,2,0,1,1,2,1,0
352,1,0,1,1,2,2,0,2,1,1,1,1,2,0,1,1,2,1,0
353,1,1,1,2,0,1,1,2,1,3,1,1,3,3,1,3,1,2,0
354,3,1,1,3,3,1,3,1,2,2,1,0,2,2,2,0,3,2,0
355,2,1,0,2,2,2,0,3,2,0,1,1,1,2,2,0,1,1,1
356,2,1,0,2,2,2,0,3,2,2,2,1,0,2,3,0,3,2,1
357,2,1,0,2,2,2,0,3,2,2,3,1,3,2,2,0,1,2,0
358,0,1,1,1,2,2,0,1,1,2,2,1,0,2,3,0,3,2,1
359,0,1,1,1,2,2,0,1,1,2,3,1,3,2,2,0,1,2,0
360,2,2,1,0,2,3,0,3,2,2,3,1,3,2,2,0,1,2,0
361,2,3,1,3,2,2,0,1,2,1,4,0,1,0,2,0,1,1,1
362,2,3,1,3,2,2,0,1,2,0,2,1,0,0,2,0,3,2,1
363,2,3,1,3,2,2,0,1,2,2,1,1,0,2,2,1,0,2,0
364,1,4,0,1,0,2,0,1,1,0,2,1,0,0,2,0,3,2,1
365,1,4,0,1,0,2,0,1,1,2,1,1,0,2,2,1,0,2,0
366,0,2,1,0,0,2,0,3,2,2,1,1,0,2,2,1,0,2,0
367,2,1,1,0,2,2,1,0,2,3,2,1,3,2,2,1,3,2,1
368,2,1,1,0,2,2,1,0,2,3,0,1,0,2,2,0,3,2,1
369,2,1,1,0,2,2,1,0,2,2,0,1,0,2,3,1,3,2,0
370,3,2,1,3,2,2,1,3,2,3,0,1,0,2,2,0,3,2,1
371,3,2,1,3,2,2,1,3,2,2,0,1,0,2,3,1,3,2,0
372,3,0,1,0,2,2,0,3,2,2,0,1,0,2,3,1,3,2,0
373,2,0,1,0,2,3,1,3,2,1,4,0,0,2,3,3,3,2,0
374,1,4,0,0,2,3,3,3,2,2,4,2,1,2,2,2,1,2,1
375,1,4,0,0,2,3,3,3,2,3,1,1,3,0,2,0,0,2,0
376,2,4,2,1,2,2,2,1,2,3,1,1,3,0,2,0,0,2,0
377,3,1,1,3,0,2,0,0,2,2,1,1,0,2,2,2,0,1,1
378,3,1,1,3,0,2,0,0,2,1,1,1,0,0,3,3,4,2,0
379,2,1,1,0,2,2,2,0,1,1,1,1,0,0,3,3,4,2,0
380,1,1,1,0,0,3,3,4,2,0,0,0,3,2,3,0,3,2,1
381,1,1,1,0,0,3,3,4,2,1,0,1,3,2,3,1,0,2,0
382,0,0,0,3,2,3,0,3,2,1,0,1,3,2,3,1,0,2,0
383,1,0,1,3,2,3,1,0,2,3,1,1,2,2,1,2,0,1,0
384,3,1,1,2,2,1,2,0,1,2,3,1,1,2,2,3,4,2,0
385,2,3,1,1,2,2,3,4,2,3,2,1,2,0,2,1,1,1,1
386,2,3,1,1,2,2,3,4,2,2,0,1,1,0,2,3,0,1,1
387,2,3,1,1,2,2,3,4,2,1,4,1,1,2,3,0,1,2,0
388,3,2,1,2,0,2,1,1,1,2,0,1,1,0,2,3,0,1,1
389,3,2,1,2,0,2,1,1,1,1,4,1,1,2,3,0,1,2,0
390,2,0,1,1,0,2,3,0,1,1,4,1,1,2,3,0,1,2,0
391,1,4,1,1,2,3,0,1,2,0,0,1,0,1,2,0,2,2,1
392,1,4,1,1,2,3,0,1,2,0,0,1,3,2,1,1,2,1,1
393,1,4,1,1,2,3,0,1,2,3,1,1,3,2,3,0,0,2,0
394,0,0,1,0,1,2,0,2,2,0,0,1,3,2,1,1,2,1,1
395,0,0,1,0,1,2,0,2,2,3,1,1,3,2,3,0,0,2,0
396,0,0,1,3,2,1,1,2,1,3,1,1,3,2,3,0,0,2,0
397,3,1,1,3,2,3,0,0,2,2,1,1,0,2,1,1,2,2,1
398,3,1,1,3,2,3,0,0,2,2,1,1,1,2,2,3,2,2,1
399,3,1,1,3,2,3,0,0,2,1,2,1,0,0,2,1,1,2,0
400,2,1,1,0,2,1,1,2,2,2,1,1,1,2,2,3,2,2,1
401,2,1,1,0,2,1,1,2,2,1,2,1,0,0,2,1,1,2,0
402,2,1,1,1,2,2,3,2,2,1,2,1,0,0,2,1,1,2,0
403,1,2,1,0,0,2,1,1,2,1,4,1,1,0,3,0,3,2,1
404,1,2,1,0,0,2,1,1,2,1,1,1,3,2,3,2,4,1,1
405,1,2,1,0,0,2,1,1,2,2,1,1,3,2,3,3,3,2,0
406,1,4,1,1,0,3,0,3,2,1,1,1,3,2,3,2,4,1,1
407,1,4,1,1,0,3,0,3,2,2,1,1,3,2,3,3,3,2,0
408,1,1,1,3,2,3,2,4,1,2,1,1,3,2,3,3,3,2,0
409,2,1,1,3,2,3,3,3,2,3,4,1,0,2,2,3,1,2,1
410,2,1,1,3,2,3,3,3,2,0,1,1,2,2,2,1,4,2,0
411,3,4,1,0,2,2,3,1,2,0,1,1,2,2,2,1,4,2,0
412,0,1,1,2,2,2,1,4,2,2,1,1,1,2,1,0,0,2,0
413,2,1,1,1,2,1,0,0,2,2,1,1,1,2,3,0,2,2,1
414,2,1,1,1,2,1,0,0,2,2,2,1,3,2,2,0,1,1,0
415,2,1,1,1,2,3,0,2,2,2,2,1,3,2,2,0,1,1,0
416,2,2,1,3,2,2,0,1,1,1,1,1,0,0,3,1,2,1,1
417,2,2,1,3,2,2,0,1,1,2,1,1,0,1,1,0,2,2,0
418,1,1,1,0,0,3,1,2,1,2,1,1,0,1,1,0,2,2,0
419,2,1,1,0,1,1,0,2,2,2,0,0,0,2,1,0,0,2,0
420,2,0,0,0,2,1,0,0,2,1,4,0,1,2,2,0,4,2,1
421,2,0,0,0,2,1,0,0,2,1,4,2,0,2,3,1,2,2,0
422,1,4,0,1,2,2,0,4,2,1,4,2,0,2,3,1,2,2,0
423,1,4,2,0,2,3,1,2,2,1,0,1,0,2,3,3,4,2,1
424,1,4,2,0,2,3,1,2,2,1,1,1,1,2,2,1,2,1,1
425,1,4,2,0,2,3,1,2,2,2,1,1,1,2,1,0,2,1,0
426,1,0,1,0,2,3,3,4,2,1,1,1,1,2,2,1,2,1,1
427,1,0,1,0,2,3,3,4,2,2,1,1,1,2,1,0,2,1,0
428,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,0,2,1,0
429,2,1,1,1,2,1,0,2,1,2,1,1,0,2,1,1,0,2,1
430,2,1,1,1,2,1,0,2,1,2,2,1,0,2,2,0,4,2,1
431,2,1,1,1,2,1,0,2,1,3,4,1,1,2,2,0,4,2,0
432,2,1,1,0,2,1,1,0,2,2,2,1,0,2,2,0,4,2,1
433,2,1,1,0,2,1,1,0,2,3,4,1,1,2,2,0,4,2,0
434,2,2,1,0,2,2,0,4,2,3,4,1,1,2,2,0,4,2,0
435,3,4,1,1,2,2,0,4,2,2,0,1,0,2,1,1,3,2,1
436,3,4,1,1,2,2,0,4,2,2,0,1,1,2,1,0,1,2,1
437,3,4,1,1,2,2,0,4,2,3,4,1,0,2,3,1,2,2,0
438,2,0,1,0,2,1,1,3,2,2,0,1,1,2,1,0,1,2,1
439,2,0,1,0,2,1,1,3,2,3,4,1,0,2,3,1,2,2,0
440,2,0,1,1,2,1,0,1,2,3,4,1,0,2,3,1,2,2,0
441,3,4,1,0,2,3,1,2,2,3,4,1,3,2,2,0,1,2,1
442,3,4,1,0,2,3,1,2,2,2,1,1,1,2,2,0,1,1,1
443,3,4,1,0,2,3,1,2,2,2,1,0,1,2,3,0,2,2,1
444,3,4,1,0,2,3,1,2,2,2,4,1,0,2,2,1,2,2,1
445,3,4,1,0,2,3,1,2,2,2,1,1,0,2,3,0,2,2,0
446,3,4,1,3,2,2,0,1,2,2,1,1,1,2,2,0,1,1,1
447,3,4,1,3,2,2,0,1,2,2,1,0,1,2,3,0,2,2,1
448,3,4,1,3,2,2,0,1,2,2,4,1,0,2,2,1,2,2,1
449,3,4,1,3,2,2,0,1,2,2,1,1,0,2,3,0,2,2,0
450,2,1,1,1,2,2,0,1,1,2,1,0,1,2,3,0,2,2,1
451,2,1,1,1,2,2,0,1,1,2,4,1,0,2,2,1,2,2,1
452,2,1,1,1,2,2,0,1,1,2,1,1,0,2,3,0,2,2,0
453,2,1,0,1,2,3,0,2,2,2,4,1,0,2,2,1,2,2,1
454,2,1,0,1,2,3,0,2,2,2,1,1,0,2,3,0,2,2,0
455,2,4,1,0,2,2,1,2,2,2,1,1,0,2,3,0,2,2,0
456,2,1,1,0,2,3,0,2,2,2,1,1,1,2,2,1,1,2,1
457,2,1,1,0,2,3,0,2,2,2,2,1,2,2,2,1,0,1,0
458,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,0,1,0
459,2,2,1,2,2,2,1,0,1,1,1,1,3,0,2,1,2,1,0
460,1,1,1,3,0,2,1,2,1,0,1,1,3,2,1,1,4,2,1
461,1,1,1,3,0,2,1,2,1,3,4,1,1,2,1,0,1,2,1
462,1,1,1,3,0,2,1,2,1,0,1,1,3,0,3,3,3,1,0
463,0,1,1,3,2,1,1,4,2,3,4,1,1,2,1,0,1,2,1
464,0,1,1,3,2,1,1,4,2,0,1,1,3,0,3,3,3,1,0
465,3,4,1,1,2,1,0,1,2,0,1,1,3,0,3,3,3,1,0
466,0,1,1,3,0,3,3,3,1,3,1,1,1,2,1,1,0,2,1
467,0,1,1,3,0,3,3,3,1,3,1,0,2,2,2,0,1,2,0
468,3,1,1,1,2,1,1,0,2,3,1,0,2,2,2,0,1,2,0
469,3,1,0,2,2,2,0,1,2,1,1,1,3,2,2,2,2,1,0
470,1,1,1,3,2,2,2,2,1,2,0,1,0,0,3,0,3,2,0
471,2,0,1,0,0,3,0,3,2,0,1,0,2,2,2,0,1,2,1
472,2,0,1,0,0,3,0,3,2,3,0,1,0,2,0,1,1,2,0
473,0,1,0,2,2,2,0,1,2,3,0,1,0,2,0,1,1,2,0
474,3,0,1,0,2,0,1,1,2,3,0,1,3,0,1,0,3,2,1
475,3,0,1,0,2,0,1,1,2,1,1,1,3,0,2,3,2,1,1
476,3,0,1,0,2,0,1,1,2,2,1,1,0,0,2,2,1,1,0
477,3,0,1,3,0,1,0,3,2,1,1,1,3,0,2,3,2,1,1
478,3,0,1,3,0,1,0,3,2,2,1,1,0,0,2,2,1,1,0
479,1,1,1,3,0,2,3,2,1,2,1,1,0,0,2,2,1,1,0
480,2,1,1,0,0,2,2,1,1,1,1,1,0,0,1,1,2,1,1
481,2,1,1,0,0,2,2,1,1,3,4,1,1,2,3,0,4,2,1
482,2,1,1,0,0,2,2,1,1,2,4,1,0,2,1,3,3,2,0
483,1,1,1,0,0,1,1,2,1,3,4,1,1,2,3,0,4,2,1
484,1,1,1,0,0,1,1,2,1,2,4,1,0,2,1,3,3,2,0
485,3,4,1,1,2,3,0,4,2,2,4,1,0,2,1,3,3,2,0
486,2,4,1,0,2,1,3,3,2,2,1,1,1,2,1,3,0,2,0
487,2,1,1,1,2,1,3,0,2,1,1,1,0,1,1,0,0,2,1
488,2,1,1,1,2,1,3,0,2,3,1,2,1,0,2,1,3,2,1
489,2,1,1,1,2,1,3,0,2,2,1,0,2,2,2,0,4,2,0
490,1,1,1,0,1,1,0,0,2,3,1,2,1,0,2,1,3,2,1
491,1,1,1,0,1,1,0,0,2,2,1,0,2,2,2,0,4,2,0
492,3,1,2,1,0,2,1,3,2,2,1,0,2,2,2,0,4,2,0
493,2,1,0,2,2,2,0,4,2,3,1,2,4,0,2,0,3,2,1
494,2,1,0,2,2,2,0,4,2,1,2,1,3,2,1,1,1,1,0
495,3,1,2,4,0,2,0,3,2,1,2,1,3,2,1,1,1,1,0
496,1,2,1,3,2,1,1,1,1,2,3,0,0,2,2,0,3,2,1
497,1,2,1,3,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1
498,1,2,1,3,2,1,1,1,1,2,4,1,0,2,3,3,4,2,0
499,2,3,0,0,2,2,0,3,2,1,1,1,2,2,1,2,1,1,1
500,2,3,0,0,2,2,0,3,2,2,4,1,0,2,3,3,4,2,0
501,1,1,1,2,2,1,2,1,1,2,4,1,0,2,3,3,4,2,0
502,2,4,1,0,2,3,3,4,2,2,2,1,1,2,2,0,3,2,0
503,2,2,1,1,2,2,0,3,2,2,0,1,3,2,1,0,2,2,1
504,2,2,1,1,2,2,0,3,2,1,4,1,1,2,2,0,3,2,1
505,2,2,1,1,2,2,0,3,2,2,1,1,3,0,2,0,1,1,0
506,2,0,1,3,2,1,0,2,2,1,4,1,1,2,2,0,3,2,1
507,2,0,1,3,2,1,0,2,2,2,1,1,3,0,2,0,1,1,0
508,1,4,1,1,2,2,0,3,2,2,1,1,3,0,2,0,1,1,0
509,2,1,1,3,0,2,0,1,1,2,2,1,3,2,3,0,2,2,1
510,2,1,1,3,0,2,0,1,1,2,4,1,1,2,2,2,1,1,0
511,2,2,1,3,2,3,0,2,2,2,4,1,1,2,2,2,1,1,0
512,2,4,1,1,2,2,2,1,1,0,0,1,2,2,2,1,4,2,1
513,2,4,1,1,2,2,2,1,1,1,2,1,3,2,1,3,3,2,1
514,2,4,1,1,2,2,2,1,1,2,1,1,0,2,3,0,4,2,0
515,0,0,1,2,2,2,1,4,2,1,2,1,3,2,1,3,3,2,1
516,0,0,1,2,2,2,1,4,2,2,1,1,0,2,3,0,4,2,0
517,1,2,1,3,2,1,3,3,2,2,1,1,0,2,3,0,4,2,0
518,2,1,1,0,2,3,0,4,2,1,0,1,2,2,2,0,3,2,1
519,2,1,1,0,2,3,0,4,2,3,1,1,3,2,2,2,1,2,0
520,1,0,1,2,2,2,0,3,2,3,1,1,3,2,2,2,1,2,0
521,3,1,1,3,2,2,2,1,2,2,1,0,3,0,2,1,4,2,1
522,3,1,1,3,2,2,2,1,2,2,2,1,3,2,2,2,0,1,1
523,3,1,1,3,2,2,2,1,2,2,1,0,3,2,2,1,4,2,0
524,2,1,0,3,0,2,1,4,2,2,2,1,3,2,2,2,0,1,1
525,2,1,0,3,0,2,1,4,2,2,1,0,3,2,2,1,4,2,0
526,2,2,1,3,2,2,2,0,1,2,1,0,3,2,2,1,4,2,0
527,2,1,0,3,2,2,1,4,2,1,1,1,3,2,1,2,1,2,1
528,2,1,0,3,2,2,1,4,2,2,2,1,0,2,2,2,1,2,1
529,2,1,0,3,2,2,1,4,2,2,4,1,3,2,2,1,2,2,0
530,1,1,1,3,2,1,2,1,2,2,2,1,0,2,2,2,1,2,1
531,1,1,1,3,2,1,2,1,2,2,4,1,3,2,2,1,2,2,0
532,2,2,1,0,2,2,2,1,2,2,4,1,3,2,2,1,2,2,0
533,2,4,1,3,2,2,1,2,2,3,1,1,0,0,2,0,2,2,1
534,2,4,1,3,2,2,1,2,2,2,1,1,0,2,2,3,0,2,1
535,2,4,1,3,2,2,1,2,2,3,3,1,1,2,3,0,3,2,0
536,3,1,1,0,0,2,0,2,2,2,1,1,0,2,2,3,0,2,1
537,3,1,1,0,0,2,0,2,2,3,3,1,1,2,3,0,3,2,0
538,2,1,1,0,2,2,3,0,2,3,3,1,1,2,3,0,3,2,0
539,3,3,1,1,2,3,0,3,2,2,1,0,4,0,2,0,3,2,1
540,3,3,1,1,2,3,0,3,2,0,1,1,0,2,2,0,1,1,0
541,2,1,0,4,0,2,0,3,2,0,1,1,0,2,2,0,1,1,0
542,0,1,1,0,2,2,0,1,1,2,1,1,3,2,3,0,0,2,1
543,0,1,1,0,2,2,0,1,1,1,4,1,3,2,2,2,0,1,1
544,0,1,1,0,2,2,0,1,1,3,1,1,3,1,3,0,1,2,0
545,2,1,1,3,2,3,0,0,2,1,4,1,3,2,2,2,0,1,1
546,2,1,1,3,2,3,0,0,2,3,1,1,3,1,3,0,1,2,0
547,1,4,1,3,2,2,2,0,1,3,1,1,3,1,3,0,1,2,0
548,3,1,1,3,1,3,0,1,2,2,0,1,3,2,1,3,1,2,1
549,3,1,1,3,1,3,0,1,2,2,2,0,1,2,2,0,1,2,0
550,2,0,1,3,2,1,3,1,2,2,2,0,1,2,2,0,1,2,0
551,2,2,0,1,2,2,0,1,2,1,2,1,3,2,1,2,1,1,1
552,2,2,0,1,2,2,0,1,2,0,1,0,2,2,3,3,4,2,0
553,1,2,1,3,2,1,2,1,1,0,1,0,2,2,3,3,4,2,0
554,0,1,0,2,2,3,3,4,2,3,1,1,3,3,3,3,4,2,1
555,0,1,0,2,2,3,3,4,2,3,4,1,3,2,2,0,0,2,0
556,3,1,1,3,3,3,3,4,2,3,4,1,3,2,2,0,0,2,0
557,3,4,1,3,2,2,0,0,2,3,0,1,0,2,2,0,4,2,1
558,3,4,1,3,2,2,0,0,2,2,0,1,1,2,2,0,4,2,1
559,3,4,1,3,2,2,0,0,2,2,1,1,1,2,0,1,3,2,0
560,3,0,1,0,2,2,0,4,2,2,0,1,1,2,2,0,4,2,1
561,3,0,1,0,2,2,0,4,2,2,1,1,1,2,0,1,3,2,0
562,2,0,1,1,2,2,0,4,2,2,1,1,1,2,0,1,3,2,0
563,2,1,1,1,2,0,1,3,2,3,2,1,0,0,2,0,2,2,1
564,2,1,1,1,2,0,1,3,2,2,1,1,0,2,2,1,2,1,0
565,3,2,1,0,0,2,0,2,2,2,1,1,0,2,2,1,2,1,0
566,2,1,1,0,2,2,1,2,1,2,0,1,3,2,2,0,0,2,1
567,2,1,1,0,2,2,1,2,1,1,2,1,0,2,2,0,2,2,1
568,2,1,1,0,2,2,1,2,1,2,1,1,0,0,2,1,1,1,0
569,2,0,1,3,2,2,0,0,2,1,2,1,0,2,2,0,2,2,1
570,2,0,1,3,2,2,0,0,2,2,1,1,0,0,2,1,1,1,0
571,1,2,1,0,2,2,0,2,2,2,1,1,0,0,2,1,1,1,0
572,2,1,1,0,0,2,1,1,1,1,4,0,2,0,2,3,4,1,0
573,1,4,0,2,0,2,3,4,1,1,1,1,0,1,2,0,2,2,1
574,1,4,0,2,0,2,3,4,1,3,0,1,1,2,2,0,4,2,1
575,1,4,0,2,0,2,3,4,1,2,1,1,1,0,2,0,4,1,0
576,1,1,1,0,1,2,0,2,2,3,0,1,1,2,2,0,4,2,1
577,1,1,1,0,1,2,0,2,2,2,1,1,1,0,2,0,4,1,0
578,3,0,1,1,2,2,0,4,2,2,1,1,1,0,2,0,4,1,0
579,2,1,1,1,0,2,0,4,1,0,2,0,1,0,2,1,1,1,1
580,2,1,1,1,0,2,0,4,1,0,1,0,1,0,3,1,0,1,1
581,2,1,1,1,0,2,0,4,1,1,1,1,0,2,1,0,2,1,0
582,0,2,0,1,0,2,1,1,1,0,1,0,1,0,3,1,0,1,1
583,0,2,0,1,0,2,1,1,1,1,1,1,0,2,1,0,2,1,0
584,0,1,0,1,0,3,1,0,1,1,1,1,0,2,1,0,2,1,0
585,1,1,1,0,2,1,0,2,1,2,4,1,0,0,2,0,3,2,0
586,2,4,1,0,0,2,0,3,2,0,1,1,0,2,2,1,0,1,1
587,2,4,1,0,0,2,0,3,2,1,1,1,0,2,1,1,0,2,1
588,2,4,1,0,0,2,0,3,2,2,1,1,3,2,1,0,1,2,0
589,0,1,1,0,2,2,1,0,1,1,1,1,0,2,1,1,0,2,1
590,0,1,1,0,2,2,1,0,1,2,1,1,3,2,1,0,1,2,0
591,1,1,1,0,2,1,1,0,2,2,1,1,3,2,1,0,1,2,0
592,2,1,1,3,2,1,0,1,2,3,1,1,3,2,2,0,4,2,1
593,2,1,1,3,2,1,0,1,2,0,1,1,3,2,2,1,4,2,0
594,3,1,1,3,2,2,0,4,2,0,1,1,3,2,2,1,4,2,0
595,0,1,1,3,2,2,1,4,2,3,0,1,3,2,1,0,2,2,1
596,0,1,1,3,2,2,1,4,2,1,1,1,1,0,2,0,2,1,0
597,3,0,1,3,2,1,0,2,2,1,1,1,1,0,2,0,2,1,0
598,1,1,1,1,0,2,0,2,1,1,4,1,1,0,3,0,2,2,1
599,1,1,1,1,0,2,0,2,1,2,1,1,0,2,3,3,2,1,0
600,1,4,1,1,0,3,0,2,2,2,1,1,0,2,3,3,2,1,0
601,2,1,1,0,2,3,3,2,1,2,2,1,2,0,2,1,1,1,1
602,2,1,1,0,2,3,3,2,1,0,1,1,1,1,1,0,3,2,1
603,2,1,1,0,2,3,3,2,1,2,1,1,3,2,2,1,1,2,0
604,2,2,1,2,0,2,1,1,1,0,1,1,1,1,1,0,3,2,1
605,2,2,1,2,0,2,1,1,1,2,1,1,3,2,2,1,1,2,0
606,0,1,1,1,1,1,0,3,2,2,1,1,3,2,2,1,1,2,0
607,2,1,1,3,2,2,1,1,2,2,1,1,0,2,2,1,3,2,1
608,2,1,1,3,2,2,1,1,2,2,1,1,1,2,2,0,1,2,1
609,2,1,1,3,2,2,1,1,2,1,2,1,0,2,2,1,2,1,0
610,2,1,1,0,2,2,1,3,2,2,1,1,1,2,2,0,1,2,1
611,2,1,1,0,2,2,1,3,2,1,2,1,0,2,2,1,2,1,0
612,2,1,1,1,2,2,0,1,2,1,2,1,0,2,2,1,2,1,0
613,1,2,1,0,2,2,1,2,1,1,1,0,2,2,3,0,3,2,0
614,1,1,0,2,2,3,0,3,2,0,0,1,2,2,1,1,1,2,1
615,1,1,0,2,2,3,0,3,2,1,1,1,0,2,2,3,3,2,1
616,1,1,0,2,2,3,0,3,2,2,1,0,3,0,2,1,3,2,0
617,0,0,1,2,2,1,1,1,2,1,1,1,0,2,2,3,3,2,1
618,0,0,1,2,2,1,1,1,2,2,1,0,3,0,2,1,3,2,0
619,1,1,1,0,2,2,3,3,2,2,1,0,3,0,2,1,3,2,0
620,2,1,0,3,0,2,1,3,2,3,4,1,1,2,2,0,1,2,1
621,2,1,0,3,0,2,1,3,2,2,4,1,3,2,3,0,1,2,0
622,3,4,1,1,2,2,0,1,2,2,4,1,3,2,3,0,1,2,0
623,2,4,1,3,2,3,0,1,2,0,1,1,0,2,2,0,0,2,1
624,2,4,1,3,2,3,0,1,2,1,0,1,1,0,1,0,1,1,1
625,2,4,1,3,2,3,0,1,2,2,1,1,1,2,3,0,0,2,0
626,0,1,1,0,2,2,0,0,2,1,0,1,1,0,1,0,1,1,1
627,0,1,1,0,2,2,0,0,2,2,1,1,1,2,3,0,0,2,0
628,1,0,1,1,0,1,0,1,1,2,1,1,1,2,3,0,0,2,0
629,2,1,1,1,2,3,0,0,2,1,1,1,3,0,2,3,0,2,0
630,1,1,1,3,0,2,3,0,2,2,4,1,1,2,2,0,2,2,1
631,1,1,1,3,0,2,3,0,2,2,1,1,0,2,2,0,1,2,0
632,2,4,1,1,2,2,0,2,2,2,1,1,0,2,2,0,1,2,0
633,2,1,1,0,2,2,0,1,2,2,1,0,3,2,2,1,2,2,1
634,2,1,1,0,2,2,0,1,2,1,1,1,1,2,3,0,0,2,1
635,2,1,1,0,2,2,0,1,2,1,0,1,3,2,2,0,1,2,0
636,2,1,0,3,2,2,1,2,2,1,1,1,1,2,3,0,0,2,1
637,2,1,0,3,2,2,1,2,2,1,0,1,3,2,2,0,1,2,0
638,1,1,1,1,2,3,0,0,2,1,0,1,3,2,2,0,1,2,0
639,1,0,1,3,2,2,0,1,2,2,1,1,0,2,2,1,0,1,1
640,1,0,1,3,2,2,0,1,2,1,1,0,2,2,2,3,3,2,0
641,2,1,1,0,2,2,1,0,1,1,1,0,2,2,2,3,3,2,0
642,1,1,0,2,2,2,3,3,2,2,4,2,3,2,2,1,2,2,0
643,2,4,2,3,2,2,1,2,2,3,1,0,2,2,2,2,3,2,0
644,3,1,0,2,2,2,2,3,2,1,1,1,1,2,2,0,0,2,0
645,1,1,1,1,2,2,0,0,2,2,1,1,1,2,2,1,2,2,1
646,1,1,1,1,2,2,0,0,2,0,1,1,0,2,2,0,1,2,1
647,1,1,1,1,2,2,0,0,2,3,1,2,3,2,3,1,4,2,0
648,2,1,1,1,2,2,1,2,2,0,1,1,0,2,2,0,1,2,1
649,2,1,1,1,2,2,1,2,2,3,1,2,3,2,3,1,4,2,0
650,0,1,1,0,2,2,0,1,2,3,1,2,3,2,3,1,4,2,0
651,3,1,2,3,2,3,1,4,2,0,1,0,2,2,1,1,0,2,1
652,3,1,2,3,2,3,1,4,2,1,1,1,2,2,2,2,0,2,0
653,0,1,0,2,2,1,1,0,2,1,1,1,2,2,2,2,0,2,0
654,1,1,1,2,2,2,2,0,2,0,1,1,0,2,1,1,0,1,1
655,1,1,1,2,2,2,2,0,2,1,4,0,3,2,3,1,3,2,1
656,1,1,1,2,2,2,2,0,2,1,2,1,1,2,2,0,2,2,0
657,0,1,1,0,2,1,1,0,1,1,4,0,3,2,3,1,3,2,1
658,0,1,1,0,2,1,1,0,1,1,2,1,1,2,2,0,2,2,0
659,1,4,0,3,2,3,1,3,2,1,2,1,1,2,2,0,2,2,0
660,1,2,1,1,2,2,0,2,2,1,2,1,1,2,3,0,3,2,1
661,1,2,1,1,2,2,0,2,2,3,1,1,0,2,2,3,0,2,0
662,1,2,1,1,2,3,0,3,2,3,1,1,0,2,2,3,0,2,0
663,3,1,1,0,2,2,3,0,2,3,4,1,0,2,2,3,3,2,1
664,3,1,1,0,2,2,3,0,2,1,1,1,1,2,3,0,0,1,1
665,3,1,1,0,2,2,3,0,2,3,2,1,0,2,2,1,4,2,0
666,3,4,1,0,2,2,3,3,2,1,1,1,1,2,3,0,0,1,1
667,3,4,1,0,2,2,3,3,2,3,2,1,0,2,2,1,4,2,0
668,1,1,1,1,2,3,0,0,1,3,2,1,0,2,2,1,4,2,0
669,3,2,1,0,2,2,1,4,2,0,0,0,3,2,0,0,3,2,1
670,3,2,1,0,2,2,1,4,2,0,4,2,4,2,2,0,3,2,1
671,3,2,1,0,2,2,1,4,2,3,1,1,3,2,3,3,4,2,0
672,0,0,0,3,2,0,0,3,2,0,4,2,4,2,2,0,3,2,1
673,0,0,0,3,2,0,0,3,2,3,1,1,3,2,3,3,4,2,0
674,0,4,2,4,2,2,0,3,2,3,1,1,3,2,3,3,4,2,0
675,3,1,1,3,2,3,3,4,2,2,0,1,3,2,2,1,3,2,0
676,2,0,1,3,2,2,1,3,2,3,4,2,0,2,3,3,1,1,0
677,3,4,2,0,2,3,3,1,1,2,4,1,3,2,3,0,3,2,1
678,3,4,2,0,2,3,3,1,1,1,4,1,0,2,2,1,1,2,1
679,3,4,2,0,2,3,3,1,1,2,1,1,0,2,1,0,3,2,0
680,2,4,1,3,2,3,0,3,2,1,4,1,0,2,2,1,1,2,1
681,2,4,1,3,2,3,0,3,2,2,1,1,0,2,1,0,3,2,0
682,1,4,1,0,2,2,1,1,2,2,1,1,0,2,1,0,3,2,0
683,2,1,1,0,2,1,0,3,2,0,1,1,3,2,2,0,1,2,1
684,2,1,1,0,2,1,0,3,2,3,1,1,3,2,2,1,0,2,1
685,2,1,1,0,2,1,0,3,2,2,0,1,3,2,0,0,3,2,0
686,0,1,1,3,2,2,0,1,2,3,1,1,3,2,2,1,0,2,1
687,0,1,1,3,2,2,0,1,2,2,0,1,3,2,0,0,3,2,0
688,3,1,1,3,2,2,1,0,2,2,0,1,3,2,0,0,3,2,0
689,2,0,1,3,2,0,0,3,2,3,0,1,0,0,2,2,2,1,0
690,3,0,1,0,0,2,2,2,1,2,2,0,2,2,2,3,0,2,0
691,2,2,0,2,2,2,3,0,2,3,0,2,3,0,2,0,3,2,1
692,2,2,0,2,2,2,3,0,2,2,1,1,0,1,3,0,0,2,0
693,3,0,2,3,0,2,0,3,2,2,1,1,0,1,3,0,0,2,0
694,2,1,1,0,1,3,0,0,2,0,1,1,0,0,2,1,1,1,0
