,f0,f1,f2,f3,f4,f5,f6,f7,f8,target
564,0,0,0,1,0,-2,0,1,1,0
565,1,1,0,0,-2,0,-1,0,1,0
566,0,1,0,-3,0,0,1,2,-1,1
567,1,-1,0,0,0,0,1,0,-1,1
568,0,0,0,0,2,0,0,1,0,0
569,1,-2,0,3,0,0,0,-2,0,1
570,0,-1,0,3,2,0,-1,-1,1,0
571,-1,1,0,0,2,0,-1,1,1,0
572,1,-3,1,-2,0,0,-2,-3,0,0
573,0,3,-1,2,-1,0,3,2,-1,1
574,-2,4,-1,1,-2,0,3,0,-1,1
575,-1,3,-1,1,0,0,3,0,0,0
576,-2,1,0,-1,-1,0,0,-2,0,1
577,-1,0,0,-1,1,0,0,-2,1,0
578,1,-1,0,0,2,0,0,0,1,0
579,2,-1,1,0,0,0,-1,3,0,1
580,2,0,1,0,0,-1,-1,4,0,1
581,1,0,0,1,-2,1,0,2,0,0
582,0,1,0,0,0,-1,0,1,0,1
583,-1,1,-1,1,-2,1,1,-1,0,0
584,-1,0,-1,1,-2,2,1,-2,0,0
585,-1,-3,0,0,2,-1,0,-1,-1,0
586,2,3,0,0,-2,0,-1,3,1,1
587,1,3,0,0,-2,1,-1,3,0,1
588,0,3,0,-3,-2,1,0,2,0,0
589,-1,0,0,0,0,1,0,0,-1,1
590,-2,0,0,-3,0,1,1,-1,-1,0
591,-1,0,0,-3,0,0,1,-1,0,0
592,-1,0,0,0,0,-1,0,-3,0,1
593,2,0,0,0,0,-1,-1,-3,0,0
594,3,0,0,0,0,0,-1,0,0,0
595,-3,1,0,0,0,1,1,2,0,1
596,-1,0,0,2,2,0,1,2,1,0
597,2,-1,0,2,2,-1,0,0,1,0
598,0,-3,0,0,0,-1,0,0,-1,1
599,-1,0,0,1,-2,-1,-3,0,0,0
600,-1,3,0,1,-2,0,-3,0,1,0
601,0,-1,0,-2,2,1,2,1,0,1
602,2,0,0,-1,1,2,3,-1,-1,1
603,0,0,0,-3,0,1,2,1,-1,0
604,2,1,0,1,-1,1,1,-2,-1,1
605,0,1,0,-1,-2,0,0,0,-1,0
606,-2,0,0,-2,-1,-1,-1,2,0,0
607,0,0,0,3,0,0,0,-2,0,1
608,0,0,0,2,0,0,1,0,0,1
609,1,-1,0,3,0,0,0,-1,1,0
610,0,0,0,-1,0,0,1,2,0,1
611,1,-1,0,0,0,0,0,1,1,0
612,1,-1,0,1,0,0,-1,-1,1,0
613,0,1,1,-2,0,-1,1,-1,-1,0
614,1,1,-1,0,0,2,-1,2,0,1
615,0,0,-1,2,0,1,-3,0,0,1
616,-1,0,0,-1,2,1,-1,0,0,0
617,-1,-1,0,2,0,-1,-2,-2,0,1
618,-2,-1,1,-1,2,-1,0,-2,0,0
619,-1,0,1,-3,2,0,2,0,0,0
620,-1,-3,-1,2,-2,0,1,2,0,1
621,0,-3,-1,0,-2,-1,1,2,0,0
622,1,0,0,-2,0,-1,0,0,0,0
623,2,3,0,3,0,1,0,1,0,1
624,1,4,0,2,2,2,0,0,1,1
625,0,3,0,2,0,0,0,1,0,0
626,-1,1,0,-1,2,1,0,-1,1,1
627,-2,0,0,-1,0,-1,0,0,0,0
628,-1,-1,0,0,-2,-2,0,1,-1,0
629,1,0,0,-2,2,1,-3,0,0,0
630,-1,-3,0,2,-2,0,3,-2,0,1
631,-1,0,0,3,-2,0,3,-1,0,0
632,0,3,0,1,0,0,0,1,0,0
633,0,0,1,-3,0,0,-1,-1,0,1
634,1,0,0,-1,0,-1,0,1,0,1
635,1,1,0,-3,0,0,0,0,0,0
636,1,0,-1,2,0,-1,1,2,0,1
637,1,1,-1,0,0,0,1,1,0,0
638,0,1,0,-2,0,1,0,-1,0,0
639,-1,-1,0,3,0,0,-1,1,1,1
640,0,-1,1,1,0,0,-3,-2,0,0
641,1,0,1,-2,0,0,-2,-3,-1,0
642,-1,-3,-2,-1,0,0,2,1,0,0
643,-1,3,2,1,0,0,-1,-1,0,0
644,2,0,-1,1,0,0,2,3,0,0
645,-1,0,0,0,0,0,-1,-2,0,1
646,1,0,0,1,0,0,0,-1,0,1
647,-2,0,-1,-2,0,-1,-1,-4,0,0
648,2,0,0,1,0,0,1,1,0,1
649,-1,0,-1,-2,0,-1,0,-2,0,0
650,-3,0,-1,-3,0,-1,-1,-3,0,0
651,3,0,2,1,0,2,0,4,0,1
652,2,0,1,1,0,1,-1,4,0,0
653,-1,0,-1,0,0,-1,-1,0,0,0
654,1,0,0,2,0,1,1,0,1,1
655,0,-3,1,-1,0,-1,1,-3,0,1
656,0,-1,0,1,0,0,2,-2,0,0
657,-1,-3,1,-3,0,-2,0,-3,-1,1
658,-1,-1,0,-1,0,-1,1,-2,-1,0
659,0,2,-1,2,0,1,1,1,0,0
660,0,0,0,0,0,-1,0,-1,0,1
661,-2,1,0,1,0,0,-3,2,0,0
662,-2,1,0,1,0,1,-3,3,0,0
663,0,-3,0,0,0,0,0,-3,0,1
664,2,0,0,-1,0,-1,3,0,1,1
665,0,-1,0,0,0,0,2,-4,0,0
666,2,3,0,-1,0,-1,3,3,1,1
667,0,2,0,0,0,0,2,-1,0,0
668,-2,-1,0,1,0,1,-1,-4,-1,0
669,3,2,1,-3,0,2,1,1,0,1
670,3,-2,-1,-4,0,0,1,1,0,1
671,0,1,0,-3,0,-1,-2,0,0,0
672,0,-4,-2,-1,0,-2,0,0,0,1
673,-3,-1,-1,0,0,-3,-3,-1,0,0
674,-3,3,1,1,0,-1,-3,-1,0,0
675,1,1,0,0,0,1,2,1,0,0
676,-1,-4,-1,3,0,-1,-2,2,1,0
677,1,0,1,-3,0,0,3,-2,-1,1
678,2,0,1,0,0,1,2,0,-1,1
679,1,3,1,0,0,2,3,-2,-1,0
680,1,0,0,3,0,1,-1,2,0,1
681,0,3,0,3,0,2,0,0,0,0
682,-1,3,0,0,0,1,1,-2,0,0
683,2,0,0,-3,0,-1,0,2,0,1
684,-1,0,0,-3,0,-1,-1,3,0,1
685,0,1,0,-3,0,1,0,0,0,0
686,-3,0,0,0,0,0,-1,1,0,1
687,-2,1,0,0,0,2,0,-2,0,0
688,1,1,0,0,0,2,1,-3,0,0
689,-1,0,0,3,2,-2,-2,1,1,0
690,1,-2,1,-2,-2,0,-1,2,-1,0
691,-1,2,-2,-1,2,0,3,-3,0,1
692,0,1,-1,2,1,-1,3,0,0,0
693,1,-1,1,3,-1,-1,0,3,0,0
694,2,0,0,0,1,1,-1,-1,1,0
695,-1,1,0,-1,-2,-1,1,1,-1,0
696,-2,-2,1,-1,0,1,-1,0,0,1
697,-2,-1,0,0,0,0,0,-3,0,0
698,0,1,-1,1,0,-1,1,-3,0,0
699,2,0,0,1,0,0,-1,-1,0,1
700,1,-3,0,-2,0,0,-1,0,0,0
701,-1,-3,0,-3,0,0,0,1,0,0
702,0,4,0,3,2,0,1,1,0,0
703,1,-3,0,-1,-2,1,-2,1,1,0
704,-1,-1,-1,-2,0,-1,-1,-1,-1,1
705,0,2,0,1,2,0,0,0,0,0
706,1,3,1,3,2,1,1,1,1,0
707,-1,0,0,-1,-1,0,2,-1,-1,0
708,1,0,0,-1,-1,-1,0,-2,0,1
709,0,-1,0,-2,0,0,-1,0,0,0
710,-1,-1,0,-1,1,1,-1,2,0,0
711,1,2,0,0,1,0,0,2,1,1
712,2,1,0,3,-1,1,-1,1,1,1
713,1,2,0,3,1,0,1,0,1,0
714,1,-1,0,3,-2,1,-1,-1,0,1
715,0,0,0,3,0,0,1,-2,0,0
716,-1,1,0,0,2,-1,2,-1,0,0
717,0,-4,0,-1,-2,-1,-1,1,-1,1
718,-1,-1,1,-2,-2,1,0,1,-1,1
719,-1,-1,1,-2,-2,1,-1,0,-1,0
720,-1,3,1,-1,0,2,1,0,0,1
721,-1,3,1,-1,0,2,0,-1,0,0
722,0,0,0,0,0,0,-1,-1,0,0
723,1,1,0,-2,0,-2,0,-1,0,0
724,-1,-1,-1,1,2,1,-1,1,1,0
725,1,1,0,0,0,1,2,-1,-1,1
726,0,-1,0,2,-2,0,1,0,0,0
727,-1,-2,0,2,-2,-1,-1,1,1,0
728,0,2,0,0,0,1,0,0,0,1
729,-1,-2,0,-2,0,0,-1,-1,-1,1
730,0,0,1,-1,0,0,1,2,-1,0
731,-1,-4,0,-2,0,-1,-1,-1,-1,1
732,0,-2,1,-1,0,-1,1,2,-1,0
733,1,2,1,1,0,0,2,3,0,0
734,1,-2,-1,2,2,0,-2,0,0,1
735,-1,1,0,2,2,-1,-1,0,0,0
736,-2,3,1,0,0,-1,1,0,0,0
737,1,-3,-1,0,-2,1,-2,-1,0,1
738,2,1,0,-2,0,1,0,0,1,0
739,1,4,1,-2,2,0,2,1,1,0
740,0,-4,-1,1,0,0,-1,-1,0,0
741,1,0,-1,-3,-2,-1,1,0,0,0
742,0,3,1,3,0,1,0,1,0,0
743,-2,0,0,0,2,1,0,-2,0,1
744,-1,-1,0,0,0,1,1,-2,0,0
745,1,-1,0,0,-2,0,1,0,0,0
746,-1,2,0,0,0,0,0,1,0,0
747,2,0,0,-2,0,-1,0,0,-1,1
748,-1,-1,-1,-3,0,-1,-3,-3,-1,0
749,-3,-1,-1,-1,0,0,-3,-3,0,0
750,2,0,1,4,0,0,1,3,1,1
751,1,-3,2,2,0,0,3,2,0,1
752,1,0,1,3,0,-1,3,0,0,0
753,-1,-3,1,-2,0,0,2,-1,-1,1
754,-1,0,0,-1,0,-1,2,-3,-1,0
755,0,3,-1,1,0,-1,0,-2,0,0
756,-1,-1,0,1,0,1,0,0,0,0
757,3,1,1,-1,2,1,-1,3,1,0
758,-2,0,-1,-2,0,-1,-1,-2,-1,0
759,0,-3,1,1,-2,0,2,0,0,1
760,-1,-1,1,2,0,1,1,1,1,0
761,-1,2,0,1,2,1,-1,1,1,0
762,3,0,-1,-2,-2,-1,0,2,-1,0
763,-2,0,1,1,0,1,1,0,0,0
764,0,1,-1,-1,2,-1,-2,0,1,0
765,1,0,0,3,0,0,2,-1,-1,0
766,0,0,0,-3,-2,-1,0,0,0,1
767,-1,0,0,-3,-2,0,-1,-1,1,1
768,-1,0,0,-3,-2,0,0,-1,0,0
769,-1,0,0,0,0,1,-1,-1,1,1
770,-1,0,0,0,0,1,0,-1,0,0
771,0,0,0,0,0,0,1,0,-1,0
772,1,0,0,3,0,0,0,0,0,1
773,0,0,0,3,0,0,0,2,0,1
774,0,0,0,0,0,0,0,1,0,0
775,-1,0,0,0,0,0,0,2,0,1
776,-1,0,0,-3,0,0,0,1,0,0
777,0,0,0,-3,0,0,0,-1,0,0
778,0,0,0,3,0,0,0,-2,0,1
779,1,0,0,3,0,0,0,0,0,1
780,0,0,0,0,2,1,0,-1,1,0
781,1,0,0,0,0,0,0,2,0,1
782,0,0,0,-3,2,1,0,1,1,0
783,-1,0,0,-3,2,1,0,-1,1,0
784,0,0,-1,2,0,0,-1,0,0,0
785,2,-1,1,1,-2,-1,0,1,-1,1
786,-1,-3,1,-2,-2,-1,0,-2,-1,1
787,-1,0,1,1,-2,1,0,0,-1,0
788,-3,-2,0,-3,0,0,0,-3,0,1
789,-3,1,0,0,0,2,0,-1,0,0
790,0,3,0,3,0,2,0,2,0,0
791,2,0,-1,-4,-1,-2,0,0,1,0
792,0,0,1,1,1,0,0,-1,-1,0
793,-2,0,0,3,0,0,0,3,0,1
794,-1,-3,0,3,0,0,1,1,0,1
795,-2,0,0,3,0,0,-2,2,0,0
796,1,-3,0,0,0,0,1,-2,0,1
797,0,0,0,0,0,0,-2,-1,0,0
798,-1,3,0,0,0,0,-3,1,0,0
799,0,0,0,0,0,0,2,-3,1,1
800,2,-1,0,-3,0,0,3,-1,0,1
801,2,0,0,-1,0,1,3,1,0,0
802,2,-1,0,-3,0,0,1,2,-1,1
803,2,0,0,-1,0,1,1,4,-1,0
804,0,1,0,2,0,1,0,2,0,0
805,-1,1,0,0,0,-1,0,-3,0,1
806,-1,1,0,-2,0,-1,-1,0,0,0
807,0,0,0,-2,0,0,-1,3,0,0
808,-1,-4,0,2,0,0,1,-2,0,1
809,0,-1,0,3,0,0,-2,-4,0,1
810,-1,-1,0,3,0,-1,0,-1,0,0
811,1,3,0,1,0,0,-3,-2,0,1
812,0,3,0,1,0,-1,-1,1,0,0
813,-1,0,0,0,0,-1,2,3,0,0
814,2,0,0,0,0,2,1,0,0,0
815,-2,0,0,-3,0,0,0,1,0,1
816,-1,-1,0,-3,0,-1,0,-2,0,1
817,-2,-3,1,-2,0,0,-1,-2,0,0
818,1,-1,0,0,0,-1,0,-3,0,1
819,0,-3,1,1,0,0,-1,-3,0,0
820,-1,-2,1,1,0,1,-1,0,0,0
821,3,4,-1,-1,2,0,0,1,1,1
822,1,0,-1,0,0,0,1,2,0,1
823,2,3,-1,2,1,-1,-2,2,0,0
824,-2,-4,0,1,-2,0,1,1,-1,1
825,-1,-1,0,3,-1,-1,-2,1,-1,0
826,1,3,0,2,1,-1,-3,0,0,0
827,0,-1,0,0,-1,0,2,-1,0,0
828,0,1,0,-2,0,1,1,2,0,1
829,1,-2,0,0,0,0,0,2,0,0
830,1,-3,0,2,0,-1,-1,0,0,0
831,-2,4,0,-3,0,1,0,-1,0,1
832,-3,4,0,-3,0,0,0,-4,0,1
833,0,0,0,-1,0,0,1,-4,0,0
834,-1,0,0,0,0,-1,0,-3,0,1
835,2,-4,0,2,0,-1,1,-3,0,0
836,3,-4,0,2,0,0,1,0,0,0
837,-1,3,0,1,0,-1,-1,3,0,0
838,-1,-3,0,-3,0,1,0,1,0,1
839,0,0,0,-3,0,2,-2,-2,0,1
840,-2,-3,1,-2,0,2,1,-1,0,0
841,1,3,0,0,0,1,-2,-3,0,1
842,-1,0,1,1,0,1,1,-2,0,0
843,-2,-3,1,1,0,0,3,1,0,0
844,1,3,-1,1,0,-2,0,-1,0,1
845,3,4,-1,1,0,0,-1,1,1,1
846,3,3,-1,1,0,-1,0,2,0,0
847,2,1,0,0,0,2,-1,2,1,1
848,2,0,0,0,0,1,0,3,0,0
849,0,-1,0,0,0,-1,1,1,-1,0
850,0,-3,0,-2,0,0,-1,-2,0,1
851,-2,0,0,1,1,0,0,-1,0,1
852,-1,0,1,-1,0,1,-1,0,0,0
853,-2,3,0,3,1,0,1,1,0,1
854,-1,3,1,1,0,1,0,2,0,0
855,1,0,1,-2,-1,1,-1,1,0,0
856,0,0,-1,-1,2,0,0,-2,1,1
857,0,1,-1,2,0,1,1,-3,0,1
858,-1,0,0,0,0,0,0,-1,0,0
859,0,1,0,3,-2,1,1,-1,-1,1
860,-1,0,1,1,-2,0,0,1,-1,0
861,-1,-1,1,-2,0,-1,-1,2,0,0
862,0,0,-1,0,1,-1,0,0,0,1
863,-1,0,-1,-1,0,-2,1,-1,0,1
864,2,0,-1,0,0,-1,0,-1,0,0
865,-1,0,0,-1,-1,-1,1,-1,0,1
866,2,0,0,0,-1,0,0,-1,0,0
867,3,0,0,1,0,1,-1,0,0,0
868,-3,1,-1,-2,2,0,-2,0,0,1
869,0,-1,0,2,0,0,1,-2,0,0
870,3,-2,1,4,-2,0,3,-2,0,0
871,-1,0,0,-3,0,-1,0,4,0,0
872,-1,-2,0,0,0,2,-1,-3,0,1
873,0,0,0,0,2,1,0,-2,0,0
874,1,2,0,0,2,-1,1,1,0,0
875,0,1,0,2,-2,-1,0,-2,0,0
876,-1,1,0,-2,-1,1,-1,0,0,1
877,-1,1,-1,-3,0,1,-1,1,0,0
878,0,0,-1,-1,1,0,0,1,0,0
879,1,-4,1,3,0,0,1,1,0,1
880,-1,-4,1,1,2,0,1,0,0,0
881,-2,0,0,-2,2,0,0,-1,0,0
882,0,4,0,0,-2,0,-3,2,0,1
883,1,0,0,0,0,0,-1,3,0,1
884,1,3,0,1,-2,0,-1,2,0,0
885,1,-4,0,0,2,0,2,1,0,1
886,1,-1,0,1,0,0,2,0,0,0
887,0,3,0,1,-2,0,0,-1,0,0
888,1,0,0,2,0,0,0,0,1,1
889,0,-3,0,2,0,-1,1,-2,0,1
890,1,1,0,2,0,1,1,-1,0,0
891,-1,-3,0,0,0,-1,1,-2,-1,1
892,0,1,0,0,0,1,1,-1,-1,0
893,1,4,0,0,0,2,0,1,0,0
894,-1,-1,1,-2,0,0,-1,2,0,1
895,-1,-2,0,0,2,-2,0,-2,0,1
896,-2,-4,1,-1,0,0,0,-1,0,0
897,0,-1,-1,2,2,-2,1,-4,0,1
898,-1,-3,0,1,0,0,1,-3,0,0
899,-1,-2,1,-1,-2,2,0,1,0,0
900,0,0,-1,-2,0,-2,-3,-1,0,1
901,2,0,-1,-2,0,-2,-1,2,0,0
902,2,0,0,0,0,0,2,3,0,0
903,-2,3,0,2,0,2,0,-1,1,0
904,1,-3,1,0,0,-1,1,1,-1,1
905,1,0,-1,0,0,-1,1,-1,-1,1
906,3,0,0,-2,0,-1,-1,1,0,0
907,0,3,-2,0,0,0,0,-2,0,1
908,2,3,-1,-2,0,0,-2,0,1,0
909,2,0,1,-2,0,0,-2,2,1,0
910,0,-1,0,3,0,0,1,-1,0,1
911,-1,0,0,2,0,-1,-1,-2,-1,1
912,-1,-3,0,0,2,0,1,1,-1,0
913,-1,1,0,-1,0,-1,-2,-1,-1,1
914,-1,-2,0,-3,2,0,0,2,-1,0
915,0,-3,0,-2,2,1,2,3,0,0
916,1,4,0,-1,-2,-1,1,-4,0,1
917,0,2,0,3,0,0,1,-4,0,1
918,-2,4,-1,-1,-2,0,1,-4,0,0
919,-1,-2,0,4,2,1,0,0,0,1
920,-3,0,-1,0,0,1,0,0,0,0
921,-2,2,-1,-4,-2,0,0,0,0,0
922,2,0,1,1,0,2,-2,2,1,1
923,3,-1,1,4,0,0,-2,1,0,0
924,1,-1,0,3,0,-2,0,-1,-1,0
925,-2,1,0,0,0,-1,2,-1,0,1
926,0,1,0,0,0,0,1,3,0,0
927,2,0,0,0,0,1,-1,4,0,0
928,-2,-1,0,-3,1,-1,1,-4,0,1
929,-3,-1,0,-1,0,0,0,-2,1,0
930,-1,0,0,2,-1,1,-1,2,1,0
931,3,-3,0,1,2,0,1,0,-1,0
932,-1,4,0,0,-2,1,0,1,1,1
933,0,3,0,0,-2,1,-3,0,0,1
934,-2,3,0,-3,-2,-1,-3,-2,0,0
935,1,-1,0,0,0,0,-3,-1,-1,1
936,-1,-1,0,-3,0,-2,-3,-3,-1,0
937,-2,0,0,-3,0,-2,0,-2,0,0
938,2,0,0,3,2,1,1,2,1,0
939,-2,0,0,0,0,0,0,0,0,0
940,0,1,0,0,0,0,0,0,0,1
941,1,0,0,-1,0,0,1,0,0,0
942,1,-1,0,-1,0,0,1,0,0,0
943,-2,0,0,0,-2,1,1,2,-1,0
944,1,1,0,1,0,0,0,-3,0,1
945,1,-3,1,0,0,-2,0,-1,0,1
946,3,0,0,0,0,-2,-1,-2,1,0
947,0,-4,1,-1,0,-2,0,2,0,1
948,2,-1,0,-1,0,-2,-1,1,1,0
949,2,3,-1,0,0,0,-1,-1,1,0
950,-3,-3,0,1,0,1,-1,1,-1,0
951,1,3,0,0,0,2,2,-2,0,1
952,1,3,1,-2,0,1,2,-2,0,0
953,0,0,1,-2,0,-1,0,0,0,0
954,2,0,-1,2,0,-1,-1,1,1,1
955,0,-3,-2,-2,-1,-2,-3,-1,0,0
956,-2,-3,-1,-4,-1,-1,-2,-2,-1,0
957,1,4,1,3,1,2,2,2,0,1
958,0,4,2,4,3,1,3,4,0,0
959,-1,0,1,1,2,-1,1,2,0,0
960,1,-1,-1,-3,-2,1,0,-1,0,0
961,-2,0,0,0,0,0,0,-3,0,1
962,0,0,0,0,0,-1,0,-1,0,0
963,2,0,0,0,0,-1,0,2,0,0
964,-1,0,1,3,0,0,-1,0,0,1
965,1,0,0,3,0,0,0,-1,0,0
966,2,0,-1,0,0,0,1,-1,0,0
967,-1,0,1,-3,0,0,-1,0,0,1
968,-2,-3,0,-3,0,0,0,1,0,1
969,-1,-1,0,0,0,0,-1,3,0,0
970,-1,-3,-1,0,0,0,1,1,0,1
971,0,-1,-1,3,0,0,0,3,0,0
972,1,2,0,3,0,0,-1,2,0,0
973,1,2,0,0,0,0,1,-1,0,1
974,0,-2,0,-3,0,0,0,-3,0,1
975,-2,-2,0,-3,0,0,1,-3,0,0
976,-1,-4,0,-3,0,0,-1,-2,0,1
977,-3,-4,0,-3,0,0,0,-2,0,0
978,-2,0,0,0,0,0,1,0,0,0
979,0,4,0,2,0,-1,0,-1,0,1
980,1,3,1,1,0,-1,0,1,0,1
981,0,4,0,0,0,0,0,0,0,0
982,1,-1,1,-1,0,0,0,2,0,1
983,0,0,0,-2,0,1,0,1,0,0
984,-1,1,-1,-1,0,1,0,-1,0,0
985,0,-4,0,3,0,0,-1,3,0,1
986,2,-1,0,2,0,-1,0,2,0,1
987,1,-1,1,2,0,0,0,2,0,0
988,2,3,0,-1,0,-1,1,-1,0,1
989,1,3,1,-1,0,0,1,-1,0,0
990,-1,0,1,0,0,1,0,0,0,0
991,-1,1,-1,0,0,0,0,1,0,1
992,0,0,0,-1,0,0,0,0,0,1
993,1,1,-1,-2,0,0,-3,0,0,0
994,1,-1,1,-1,0,0,0,-1,0,1
995,2,0,0,-2,0,0,-3,-1,0,0
996,1,1,-1,-1,0,0,-3,0,0,0
997,0,-1,0,2,2,1,3,-2,0,1
998,-1,-1,1,3,0,-1,2,0,0,1
999,0,0,0,0,0,0,2,-2,0,0
1000,-1,0,1,1,-2,-2,-1,2,0,1
1001,0,1,0,-2,-2,-1,-1,0,0,0
1002,1,1,-1,-3,0,1,0,-2,0,0
1003,0,0,0,0,0,0,0,-1,0,0
1004,-1,-1,0,0,0,0,0,0,0,0
1005,-1,0,0,2,0,0,1,4,0,1
1006,1,0,0,2,0,0,0,2,0,1
1007,-1,0,0,0,0,-1,1,1,0,0
1008,2,0,0,0,0,0,-1,-2,0,1
1009,0,0,0,-2,0,-1,0,-3,0,0
1010,-2,0,0,-2,0,-1,1,-1,0,0
1011,1,-1,0,0,0,1,-1,2,0,1
1012,2,-1,0,3,0,1,-1,2,1,1
1013,0,1,0,3,0,1,-3,1,0,0
1014,1,0,0,3,0,0,0,0,1,1
1015,-1,2,0,3,0,0,-2,-1,0,0
1016,-2,2,0,0,0,0,-2,-1,-1,0
1017,3,-1,0,-1,0,1,2,1,1,1
1018,1,0,1,-2,0,0,3,2,0,1
1019,2,-1,0,-1,0,1,0,-1,0,0
1020,-2,1,1,-1,0,-1,1,1,-1,1
1021,-1,0,0,0,0,0,-2,-2,-1,0
1022,1,-1,-1,1,0,1,-3,-3,0,0
1023,-1,0,1,-1,0,-1,2,0,0,1
1024,0,0,0,1,0,-1,2,2,0,1
1025,0,0,0,1,0,-1,2,3,1,0
1026,1,0,-1,2,0,0,0,2,0,1
1027,1,0,-1,2,0,0,0,3,1,0
1028,0,0,0,0,0,0,0,1,1,0
1029,0,0,0,-1,0,0,0,-4,-1,1
1030,-1,0,0,0,1,0,1,-2,-1,1
1031,-1,0,0,-2,0,1,1,-3,-1,0
1032,-1,0,0,1,1,0,1,2,0,1
1033,-1,0,0,-1,0,1,1,1,0,0
1034,0,0,0,-2,-1,1,0,-1,0,0
1035,-1,-3,0,2,0,-1,0,0,0,1
1036,2,0,0,-1,0,-1,0,-1,0,1
1037,1,-3,1,2,0,-2,-1,0,0,0
1038,3,3,0,-3,0,0,0,-1,0,1
1039,2,0,1,0,0,-1,-1,0,0,0
1040,-1,-3,1,3,0,-1,-1,1,0,0
1041,0,4,-1,-3,0,2,-1,1,1,1
1042,1,3,-1,0,2,1,-1,2,1,1
1043,1,3,-1,-1,0,1,1,-1,0,0
1044,1,-1,0,3,2,-1,0,1,0,1
1045,1,-1,0,2,0,-1,2,-2,-1,0
1046,0,0,0,-1,-2,0,2,-3,-1,0
1047,-2,0,0,0,0,1,-1,4,0,1
1048,-3,-1,0,1,0,0,-1,3,0,1
1049,-3,-3,0,1,0,0,0,2,0,0
1050,-1,-1,0,1,0,-1,0,-1,0,1
1051,-1,-3,0,1,0,-1,1,-2,0,0
1052,0,-2,0,0,0,0,1,-1,0,0
1053,1,0,0,-3,0,-1,0,-2,0,0
1054,0,3,0,3,0,1,-2,2,1,0
1055,0,-1,0,-2,0,0,2,1,-1,1
1056,1,1,0,0,0,0,2,1,0,1
1057,0,0,0,0,2,0,2,-2,-1,0
1058,1,2,0,2,0,0,0,0,1,1
1059,0,1,0,2,2,0,0,-3,0,0
1060,-1,-1,0,0,2,0,0,-3,-1,0
1061,1,0,0,0,-2,0,-1,1,1,1
1062,0,0,0,-3,-2,-1,0,0,0,1
1063,1,0,0,-2,0,1,-1,0,1,0
1064,-1,0,0,-3,0,-1,1,-1,-1,1
1065,0,0,0,-2,2,1,0,-1,0,0
1066,1,0,0,1,2,2,-1,0,1,0
1067,-2,-3,-1,0,0,-1,0,1,-1,1
1068,1,0,-1,-2,-2,-1,-1,2,-1,1
1069,0,0,0,0,-2,0,-1,4,0,0
1070,3,3,0,-2,-2,0,-1,1,0,1
1071,2,3,1,0,-2,1,-1,3,1,0
1072,-1,0,1,2,0,1,0,2,1,0
1073,0,-1,0,2,2,-1,1,0,-1,0
1074,0,1,0,-3,-1,1,-2,-1,0,1
1075,0,1,0,-1,-2,0,1,-3,0,0
1076,0,0,0,2,-1,-1,3,-2,0,0
1077,-1,-1,0,-2,0,0,0,1,0,0
1078,1,1,-1,0,0,0,-1,0,0,1
1079,0,1,0,3,0,0,-1,-2,0,0
1080,-1,0,1,3,0,0,0,-2,0,0
1081,1,0,0,-3,2,0,1,3,0,1
1082,-1,0,0,0,0,1,0,2,0,1
1083,1,-1,0,-3,0,1,0,1,0,0
1084,-2,0,0,3,-2,1,-1,-1,0,1
1085,0,-1,0,0,-2,1,-1,-2,0,0
1086,2,-1,0,-3,0,0,0,-1,0,0
1087,-2,-2,0,3,0,-2,1,-1,0,1
1088,-1,1,0,2,0,0,-2,0,0,1
1089,-1,1,0,3,0,-2,1,0,0,0
1090,1,3,0,-1,0,2,-3,1,0,1
1091,1,3,0,0,0,0,0,1,0,0
1092,0,0,0,1,0,-2,3,0,0,0
1093,1,-3,0,-3,0,1,0,1,0,1
1094,1,0,0,-3,0,1,-1,-1,0,1
1095,1,1,0,0,0,2,0,3,1,0
1096,0,3,0,0,0,0,-1,-2,0,1
1097,0,4,0,3,0,1,0,2,1,0
1098,0,1,0,3,0,1,1,4,1,0
1099,0,-1,0,0,0,1,0,-3,-1,1
1100,-2,0,0,-3,0,-2,-1,0,-1,1
1101,0,-1,0,-3,2,-1,-1,0,-1,0
1102,-2,1,0,-3,0,-3,-1,3,0,1
1103,0,0,0,-3,2,-2,-1,3,0,0
1104,2,-1,0,0,2,1,0,0,0,0
1105,0,0,0,2,-2,0,1,-1,0,0
1106,-1,0,0,1,0,1,0,-1,0,1
1107,-2,0,0,1,0,0,-1,0,0,1
1108,-1,0,0,-2,0,0,0,1,0,0
1109,-1,0,0,0,0,-1,-1,1,0,1
1110,0,0,0,-3,0,-1,0,2,0,0
1111,1,0,0,-3,0,0,1,1,0,0
1112,-1,0,0,3,0,0,0,-2,0,1
1113,0,0,0,0,0,0,0,-3,0,1
1114,-1,-3,0,3,2,0,0,-4,0,0
1115,1,0,0,-3,0,0,0,-1,0,1
1116,0,-3,0,0,2,0,0,-2,0,0
1117,-1,-3,0,3,2,0,0,-1,0,0
1118,0,3,1,-2,-2,0,0,1,0,1
1119,0,0,0,0,-2,0,0,0,0,1
1120,2,3,0,0,-2,0,0,4,0,0
1121,0,-3,-1,2,0,0,0,-1,0,1
1122,2,0,-1,2,0,0,0,3,0,0
1123,2,3,0,0,0,0,0,4,0,0
1124,-1,0,0,0,0,0,-1,-2,0,1
1125,0,0,0,-3,0,0,0,-1,0,1
1126,0,0,0,-3,0,0,0,-1,1,0
1127,1,0,0,-3,0,0,1,1,0,1
